Linear,Digital,Overlap
14114,56458,242
14114,57265,242
14114,58071,246
14114,58878,249
14114,59684,257
14114,60491,261
14114,61297,264
14114,62104,268
14114,62910,274
14114,63717,278
14114,64524,283
14114,65330,291
14114,66137,295
14114,66943,299
14114,67750,304
14114,68556,306
14114,69363,310
14114,70169,311
14114,70976,312
14114,71782,317
14114,72589,320
14114,73396,326
14114,74202,333
14114,75009,338
14114,75815,342
14114,76622,346
14114,77428,350
14114,78235,357
14114,79041,364
14114,79848,367
14114,80655,370
16131,0,0
16131,806,0
16131,1613,7
16131,2419,8
16131,3226,11
16131,4032,18
16131,4839,19
16131,5645,22
16131,6452,28
16131,7258,34
16131,8065,39
16131,8872,44
16131,9678,48
16131,10485,51
16131,11291,63
16131,12098,65
16131,12904,70
16131,13711,73
16131,14517,80
16131,15324,81
16131,16131,85
16131,16937,87
16131,17744,88
16131,18550,90
16131,19357,93
16131,20163,97
16131,20970,101
16131,21776,108
16131,22583,110
16131,23389,114
16131,24196,119
16131,25003,125
16131,25809,132
16131,26616,135
16131,27422,139
16131,28229,142
16131,29035,146
16131,29842,154
16131,30648,161
16131,31455,166
16131,32262,169
16131,33068,173
16131,33875,177
16131,34681,179
16131,35488,184
16131,36294,188
16131,37101,189
16131,37907,192
16131,38714,196
16131,39520,202
16131,40327,205
16131,41134,212
16131,41940,214
16131,42747,220
16131,43553,229
16131,44360,233
16131,45166,236
16131,45973,236
16131,46779,239
16131,47586,243
16131,48393,251
16131,49199,254
16131,50006,257
16131,50812,258
16131,51619,263
16131,52425,265
16131,53232,267
16131,54038,270
16131,54845,276
16131,55651,278
16131,56458,285
16131,57265,285
16131,58071,289
16131,58878,292
16131,59684,300
16131,60491,304
16131,61297,307
16131,62104,312
16131,62910,318
16131,63717,322
16131,64524,327
16131,65330,335
16131,66137,339
16131,66943,343
16131,67750,348
16131,68556,350
16131,69363,354
16131,70169,355
16131,70976,356
16131,71782,361
16131,72589,364
16131,73396,370
16131,74202,378
16131,75009,383
16131,75815,389
16131,76622,393
16131,77428,398
16131,78235,405
16131,79041,413
16131,79848,418
16131,80655,421
18147,0,0
18147,806,0
18147,1613,9
18147,2419,10
18147,3226,14
18147,4032,21
18147,4839,22
18147,5645,27
18147,6452,34
18147,7258,43
18147,8065,48
18147,8872,54
18147,9678,58
18147,10485,61
18147,11291,74
18147,12098,76
18147,12904,81
18147,13711,84
18147,14517,91
18147,15324,92
18147,16131,96
18147,16937,98
18147,17744,99
18147,18550,102
18147,19357,105
18147,20163,109
18147,20970,113
18147,21776,121
18147,22583,123
18147,23389,127
18147,24196,133
18147,25003,140
18147,25809,147
18147,26616,150
18147,27422,154
18147,28229,158
18147,29035,162
18147,29842,171
18147,30648,178
18147,31455,183
18147,32262,186
18147,33068,192
18147,33875,197
18147,34681,200
18147,35488,205
18147,36294,209
18147,37101,210
18147,37907,214
18147,38714,218
18147,39520,225
18147,40327,229
18147,41134,236
18147,41940,239
18147,42747,245
18147,43553,255
18147,44360,259
18147,45166,262
18147,45973,262
18147,46779,266
18147,47586,270
18147,48393,278
18147,49199,282
18147,50006,285
18147,50812,286
18147,51619,291
18147,52425,294
18147,53232,297
18147,54038,301
18147,54845,307
18147,55651,309
18147,56458,317
18147,57265,317
18147,58071,321
18147,58878,324
18147,59684,332
18147,60491,336
18147,61297,339
18147,62104,344
18147,62910,350
18147,63717,354
18147,64524,359
18147,65330,369
18147,66137,373
18147,66943,378
18147,67750,383
18147,68556,385
18147,69363,389
18147,70169,390
18147,70976,391
18147,71782,396
18147,72589,400
18147,73396,407
18147,74202,416
18147,75009,423
18147,75815,430
18147,76622,436
18147,77428,442
18147,78235,449
18147,79041,457
18147,79848,462
18147,80655,466
20163,0,0
20163,806,0
20163,1613,9
20163,2419,10
20163,3226,15
20163,4032,23
20163,4839,24
20163,5645,30
20163,6452,38
20163,7258,47
20163,8065,52
20163,8872,59
20163,9678,64
20163,10485,67
20163,11291,80
20163,12098,82
20163,12904,87
20163,13711,91
20163,14517,98
20163,15324,99
20163,16131,103
20163,16937,105
20163,17744,106
20163,18550,110
20163,19357,114
20163,20163,118
20163,20970,123
20163,21776,132
20163,22583,136
20163,23389,141
20163,24196,147
20163,25003,154
20163,25809,162
20163,26616,165
20163,27422,169
20163,28229,173
20163,29035,177
20163,29842,186
20163,30648,195
20163,31455,200
20163,32262,204
20163,33068,210
20163,33875,217
20163,34681,221
20163,35488,226
20163,36294,230
20163,37101,231
20163,37907,236
20163,38714,241
20163,39520,250
20163,40327,255
20163,41134,262
20163,41940,266
20163,42747,272
20163,43553,283
20163,44360,287
20163,45166,290
20163,45973,290
20163,46779,295
20163,47586,302
20163,48393,311
20163,49199,315
20163,50006,318
20163,50812,319
20163,51619,324
20163,52425,327
20163,53232,330
20163,54038,335
20163,54845,343
20163,55651,346
20163,56458,355
20163,57265,357
20163,58071,362
20163,58878,365
20163,59684,373
20163,60491,380
20163,61297,384
20163,62104,389
20163,62910,395
20163,63717,399
20163,64524,404
20163,65330,416
20163,66137,421
20163,66943,426
20163,67750,432
20163,68556,434
20163,69363,438
20163,70169,439
20163,70976,440
20163,71782,447
20163,72589,453
20163,73396,460
20163,74202,469
20163,75009,476
20163,75815,483
20163,76622,490
20163,77428,496
20163,78235,503
20163,79041,512
20163,79848,518
20163,80655,523
22180,0,0
22180,806,0
22180,1613,9
22180,2419,12
22180,3226,18
22180,4032,26
22180,4839,27
22180,5645,35
22180,6452,44
22180,7258,53
